window,overbought,oversold,sharpe_ratio,annual_return,max_drawdown,calmar_ratio
17,85,15,0.23,0.03,1.1360431912904803,0.03
17,90,10,0.22,0.03,1.3021145469531663,0.02
17,95,5,0.22,0.03,1.2691304997505193,0.02
18,10,90,-0.02,-0.0,0.11425529986891925,-0.0
18,15,85,0.08,0.0,0.09791243870425026,0.0
18,20,80,0.14,0.0,0.1064451388446579,0.0
18,25,75,0.23,0.01,0.1625347754153581,0.06
18,30,70,0.36,0.02,0.25128979959732267,0.08
18,35,65,0.39,0.02,0.19873724583643182,0.1
18,40,60,0.39,0.03,0.3109988275929618,0.1
18,45,55,0.38,0.03,0.42358853106042993,0.07
18,50,50,0.36,0.03,0.6038342594576438,0.05
18,55,45,0.36,0.03,0.5326908021101786,0.06
18,60,40,0.32,0.03,0.8203842633999421,0.04
18,65,35,0.3,0.03,0.7417697607580171,0.04
18,70,30,0.28,0.03,0.7366499869166159,0.04
18,75,25,0.22,0.03,0.9370533434493074,0.03
18,80,20,0.22,0.03,1.0352876950068381,0.03
18,85,15,0.23,0.03,1.190172738483466,0.03
18,90,10,0.22,0.03,1.3133453062784297,0.02
18,95,5,0.22,0.03,1.2869027656158312,0.02
19,10,90,0.01,0.0,0.10314505784173711,0.0
19,15,85,0.11,0.0,0.11461834515735736,0.0
19,20,80,0.18,0.0,0.07891276816422188,0.0
19,25,75,0.21,0.01,0.2602211081879615,0.04
19,30,70,0.38,0.02,0.21030457653621903,0.1
19,35,65,0.37,0.02,0.31076180385866614,0.06
19,40,60,0.45,0.03,0.30874029494455524,0.1
19,45,55,0.42,0.03,0.44833701388895086,0.07
19,50,50,0.32,0.03,0.5654600699615802,0.05
19,55,45,0.32,0.03,0.5629307558212617,0.05
19,60,40,0.34,0.03,0.7174239415323176,0.04
19,65,35,0.3,0.03,0.7091548201364808,0.04
19,70,30,0.24,0.03,0.7984366261912745,0.04
19,75,25,0.24,0.03,0.8179807511352055,0.04
19,80,20,0.23,0.03,1.0570180204720585,0.03
19,85,15,0.22,0.03,1.2979069429194348,0.02
19,90,10,0.22,0.03,1.2669685252650762,0.02
19,95,5,0.22,0.03,1.2771920142957551,0.02
20,10,90,-0.07,-0.0,0.11087608459442788,-0.0
20,15,85,0.03,0.0,0.15987023669977785,0.0
20,20,80,0.13,0.0,0.14345321936116606,0.0
20,25,75,0.25,0.01,0.12865772439845502,0.08
20,30,70,0.4,0.02,0.16831167179149187,0.12
20,35,65,0.35,0.02,0.28460048364125856,0.07
20,40,60,0.36,0.02,0.21003381797700804,0.1
20,45,55,0.32,0.02,0.4871959020330334,0.04
20,50,50,0.34,0.03,0.4136265971944735,0.07
20,55,45,0.29,0.03,0.600293442111651,0.05
20,60,40,0.3,0.03,0.7801343737075093,0.04
20,65,35,0.29,0.03,0.8097774823768695,0.04
20,70,30,0.24,0.03,0.8753818558730213,0.03
20,75,25,0.22,0.03,0.9572246371332414,0.03
20,80,20,0.21,0.03,1.0826708235743983,0.03
20,85,15,0.21,0.03,1.345463197525428,0.02
20,90,10,0.22,0.03,1.2847501874674268,0.02
20,95,5,0.22,0.03,1.2771920142957573,0.02
21,10,90,-0.0,-0.0,0.07313921877942098,-0.0
21,15,85,0.01,0.0,0.1321181974827217,0.0
21,20,80,0.17,0.0,0.12928709617838374,0.0
21,25,75,0.36,0.01,0.1434481399171239,0.07
21,30,70,0.41,0.02,0.1400773358637173,0.14
21,35,65,0.41,0.02,0.2528375104208056,0.08
21,40,60,0.4,0.03,0.21835095044601527,0.14
21,45,55,0.39,0.03,0.38734638579765335,0.08
21,50,50,0.35,0.03,0.42574372699910845,0.07
21,55,45,0.35,0.03,0.487983505979384,0.06
21,60,40,0.29,0.03,0.7973474914367222,0.04
21,65,35,0.27,0.03,0.9072070519635007,0.03
21,70,30,0.26,0.03,0.8091243947261506,0.04
21,75,25,0.22,0.03,1.0584541594816415,0.03
21,80,20,0.22,0.03,1.1512609944876222,0.03
21,85,15,0.21,0.03,1.3170038516448757,0.02
21,90,10,0.22,0.03,1.2965433610015293,0.02
21,95,5,0.22,0.03,1.2771920142957636,0.02
22,10,90,-0.03,-0.0,0.05125640987006086,-0.0
22,15,85,0.03,0.0,0.11971716995521642,0.0
22,20,80,0.19,0.0,0.08627266081116003,0.0
22,25,75,0.38,0.01,0.1271687758979615,0.08
22,30,70,0.39,0.02,0.18815587706100756,0.11
22,35,65,0.38,0.02,0.2803974118143955,0.07
22,40,60,0.34,0.02,0.24816673630242292,0.08
22,45,55,0.35,0.03,0.3558861488323599,0.08
22,50,50,0.39,0.03,0.39238826191175713,0.08
22,55,45,0.33,0.03,0.5339917049769132,0.06
22,60,40,0.33,0.03,0.6920446048018496,0.04
22,65,35,0.28,0.03,0.8615230756388776,0.03
22,70,30,0.26,0.03,0.7448287488185872,0.04
22,75,25,0.2,0.02,1.2592525391932,0.02
22,80,20,0.21,0.03,1.156887845722022,0.03
22,85,15,0.22,0.03,1.2981042757231345,0.02
22,90,10,0.22,0.03,1.2727040644663692,0.02
22,95,5,0.22,0.03,1.2771920142957645,0.02
23,10,90,-0.06,-0.0,0.05639196086949261,-0.0
23,15,85,-0.01,-0.0,0.1799255009380487,-0.0
23,20,80,0.17,0.0,0.1209845894562277,0.0
23,25,75,0.31,0.01,0.10926631730180503,0.09
23,30,70,0.36,0.02,0.13888367626720632,0.14
23,35,65,0.35,0.02,0.24048115813325466,0.08
23,40,60,0.34,0.02,0.32044712307049394,0.06
23,45,55,0.28,0.02,0.4623765493646286,0.04
23,50,50,0.4,0.03,0.39559467072749843,0.08
23,55,45,0.37,0.03,0.5669129938526298,0.05
23,60,40,0.29,0.03,0.7423470242396264,0.04
23,65,35,0.24,0.03,1.0183501485281532,0.03
23,70,30,0.23,0.03,0.7991474648893311,0.04
23,75,25,0.21,0.03,1.2040380314406627,0.02
23,80,20,0.21,0.03,1.1144664287277664,0.03
23,85,15,0.22,0.03,1.2917964543283365,0.02
23,90,10,0.22,0.03,1.2817281215001386,0.02
23,95,5,0.22,0.03,1.2771920142957636,0.02
24,10,90,-0.05,-0.0,0.04662621151218593,-0.0
24,15,85,-0.02,-0.0,0.15295794823847786,-0.0
24,20,80,0.13,0.0,0.11352623261418848,0.0
24,25,75,0.28,0.01,0.12569717699174576,0.08
24,30,70,0.32,0.01,0.18044585773931554,0.06
24,35,65,0.29,0.02,0.3115912682138293,0.06
24,40,60,0.31,0.02,0.3016070099723762,0.07
24,45,55,0.23,0.02,0.37514870203620554,0.05
24,50,50,0.25,0.02,0.5555953602173394,0.04
24,55,45,0.29,0.03,0.7381203414935174,0.04
24,60,40,0.26,0.03,0.8914646776325372,0.03
24,65,35,0.25,0.03,0.9485951634541503,0.03
24,70,30,0.23,0.03,0.9955765841109407,0.03
24,75,25,0.22,0.03,1.2227693239123947,0.02
24,80,20,0.21,0.03,1.1877819041622877,0.03
24,85,15,0.21,0.03,1.4016446024043052,0.02
24,90,10,0.22,0.03,1.2817281215001386,0.02
24,95,5,0.22,0.03,1.2771920142957636,0.02
25,10,90,-0.07,-0.0,0.059750188330536025,-0.0
25,15,85,-0.02,-0.0,0.20436650225851494,-0.0
25,20,80,0.09,0.0,0.13370596828322212,0.0
25,25,75,0.22,0.01,0.17657157391199885,0.06
25,30,70,0.31,0.01,0.14962781227691324,0.07
25,35,65,0.35,0.02,0.29574643540105294,0.07
25,40,60,0.22,0.01,0.5252404090330337,0.02
25,45,55,0.14,0.01,0.5777046954428522,0.02
25,50,50,0.18,0.02,0.6847695697427315,0.03
25,55,45,0.26,0.02,0.7821051024565688,0.03
25,60,40,0.25,0.03,1.1176147492016724,0.03
25,65,35,0.25,0.03,0.8978770183861746,0.03
25,70,30,0.23,0.03,1.0400580161240454,0.03
25,75,25,0.19,0.02,1.1714584548842297,0.02
25,80,20,0.22,0.03,1.1834651631023476,0.03
25,85,15,0.22,0.03,1.3345484408562251,0.02
25,90,10,0.22,0.03,1.2771920142957645,0.02
25,95,5,0.22,0.03,1.2771920142957645,0.02
26,10,90,-0.09,-0.0,0.06385551660308175,-0.0
26,15,85,0.02,0.0,0.10413693805794366,0.0
26,20,80,0.02,0.0,0.14955776918243668,0.0
26,25,75,0.2,0.01,0.16334671764558995,0.06
26,30,70,0.3,0.01,0.15973750914338103,0.06
26,35,65,0.36,0.02,0.18225068767028074,0.11
26,40,60,0.24,0.01,0.39477297080690565,0.03
26,45,55,0.17,0.01,0.5248766080217876,0.02
26,50,50,0.23,0.02,0.6895725118726028,0.03
26,55,45,0.25,0.02,0.8242427805853616,0.02
26,60,40,0.22,0.02,1.2574650839207178,0.02
26,65,35,0.22,0.02,1.0705802948540817,0.02
26,70,30,0.23,0.03,1.1440469126326223,0.03
26,75,25,0.21,0.03,1.2317477372958012,0.02
26,80,20,0.22,0.03,1.2271504300293383,0.02
26,85,15,0.21,0.03,1.3548786451383283,0.02
26,90,10,0.22,0.03,1.2771920142957653,0.02
26,95,5,0.22,0.03,1.2771920142957653,0.02
27,10,90,-0.02,-0.0,0.023988279623634368,-0.0
27,15,85,-0.07,-0.0,0.13930043049736962,-0.0
27,20,80,-0.01,-0.0,0.16186870935631414,-0.0
27,25,75,0.12,0.0,0.1720492671318855,0.0
27,30,70,0.3,0.01,0.13453897220011934,0.07
27,35,65,0.28,0.01,0.27353822830071883,0.04
27,40,60,0.21,0.01,0.3651233269387304,0.03
27,45,55,0.21,0.02,0.3541135993921243,0.06
27,50,50,0.25,0.02,0.5967460344582449,0.03
27,55,45,0.25,0.02,0.9176009994964305,0.02
27,60,40,0.23,0.02,1.2311857305433709,0.02
27,65,35,0.24,0.03,1.032822688509325,0.03
27,70,30,0.22,0.03,1.0509689570414058,0.03
27,75,25,0.22,0.03,1.150475935839148,0.03
27,80,20,0.22,0.03,1.2424247564667903,0.02
27,85,15,0.22,0.03,1.3432591603895698,0.02
27,90,10,0.22,0.03,1.2771920142957645,0.02
27,95,5,0.22,0.03,1.2771920142957645,0.02
28,10,90,0.02,0.0,0.014739336003480652,0.0
28,15,85,-0.12,-0.0,0.1860681720882703,-0.0
28,20,80,-0.03,-0.0,0.13792460035068865,-0.0
28,25,75,0.2,0.01,0.11639666247537261,0.09
28,30,70,0.33,0.01,0.11313656983196196,0.09
28,35,65,0.41,0.02,0.1813556010914148,0.11
28,40,60,0.23,0.01,0.34396681981326394,0.03
28,45,55,0.21,0.01,0.3934040756642595,0.03
28,50,50,0.27,0.02,0.6079601094702936,0.03
28,55,45,0.22,0.02,0.9925043018966373,0.02
28,60,40,0.2,0.02,1.3376139811410177,0.01
28,65,35,0.24,0.03,0.9391594301002615,0.03
28,70,30,0.21,0.02,1.1763078546613754,0.02
28,75,25,0.21,0.03,1.1826277986594427,0.03
28,80,20,0.21,0.03,1.2808301940032045,0.02
28,85,15,0.22,0.03,1.3122834801496435,0.02
28,90,10,0.22,0.03,1.2771920142957645,0.02
28,95,5,0.22,0.03,1.2771920142957645,0.02
29,10,90,-0.01,-0.0,0.021304585550551036,-0.0
29,15,85,-0.13,-0.0,0.17492653558255555,-0.0
29,20,80,-0.06,-0.0,0.1722860957410003,-0.0
29,25,75,0.2,0.01,0.10196936589842687,0.1
29,30,70,0.4,0.02,0.11004192833723558,0.18
29,35,65,0.37,0.02,0.1534235554510166,0.13
29,40,60,0.3,0.02,0.3318494531038687,0.06
29,45,55,0.2,0.01,0.4258790789719771,0.02
