,close,signal,pnl,cumulative_return
304,21126.61,0,0.00,1.00
305,21253.61,0,0.00,1.00
306,21200.42,0,0.00,1.00
307,21317.48,0,0.00,1.00
308,21310.99,0,0.00,1.00
309,21237.69,0,0.00,1.00
310,21194.12,0,0.00,1.00
311,21331.33,0,0.00,1.00
312,21177.36,0,0.00,1.00
313,21300.62,0,0.00,1.00
314,21234.48,0,0.00,1.00
315,21216.88,0,0.00,1.00
316,21303.62,0,0.00,1.00
317,21508.13,0,0.00,1.00
318,21395.38,0,0.00,1.00
319,21432.69,0,0.00,1.00
320,21433.15,0,0.00,1.00
321,21340.22,0,0.00,1.00
322,21147.94,0,0.00,1.00
323,21165.45,0,0.00,1.00
324,21128.90,0,0.00,1.00
325,20961.89,0,0.00,1.00
326,21053.63,0,0.00,1.00
327,21096.77,0,0.00,1.00
328,21236.85,0,0.00,1.00
329,21206.20,0,0.00,1.00
330,21226.14,0,0.00,1.00
331,21512.07,0,0.00,1.00
332,21431.33,0,0.00,1.00
333,21491.19,0,0.00,1.00
334,21468.29,0,0.00,1.00
335,21395.07,0,0.00,1.00
336,21352.77,0,0.00,1.00
337,21426.23,0,0.00,1.00
338,21424.82,0,0.00,1.00
339,21442.01,0,0.00,1.00
340,21476.19,0,0.00,1.00
341,21396.52,0,0.00,1.00
342,21453.21,0,0.00,1.00
343,21414.83,0,0.00,1.00
344,21417.86,0,0.00,1.00
345,21708.60,0,0.00,1.00
346,21456.36,0,0.00,1.00
347,21408.93,0,0.00,1.00
348,21411.58,0,0.00,1.00
349,21326.11,0,0.00,1.00
350,21352.02,0,0.00,1.00
351,21260.66,0,0.00,1.00
352,21186.64,0,0.00,1.00
353,21283.60,0,0.00,1.00
354,21401.73,0,0.00,1.00
355,21381.85,0,0.00,1.00
356,21143.78,0,0.00,1.00
357,21038.07,0,0.00,1.00
358,21048.72,0,0.00,1.00
359,21090.55,0,0.00,1.00
360,21131.30,0,0.00,1.00
361,21171.32,0,0.00,1.00
362,21246.58,0,0.00,1.00
363,21182.60,0,0.00,1.00
364,21267.60,0,0.00,1.00
365,21363.22,0,0.00,1.00
366,21489.80,0,0.00,1.00
367,21454.57,0,0.00,1.00
368,21437.18,0,0.00,1.00
369,21304.55,0,0.00,1.00
370,21235.84,0,0.00,1.00
371,20737.81,0,0.00,1.00
372,20820.51,0,0.00,1.00
373,20754.73,0,0.00,1.00
374,20759.66,0,0.00,1.00
375,20726.78,0,0.00,1.00
376,20821.05,0,0.00,1.00
377,20855.37,0,0.00,1.00
378,20913.56,0,0.00,1.00
379,20803.24,0,0.00,1.00
380,20814.42,0,0.00,1.00
381,20742.56,0,0.00,1.00
382,20770.50,0,0.00,1.00
383,20619.45,0,0.00,1.00
384,20640.98,0,0.00,1.00
385,20735.03,0,0.00,1.00
386,20771.57,0,0.00,1.00
387,20741.30,0,0.00,1.00
388,20862.65,0,0.00,1.00
389,20879.39,0,0.00,1.00
390,21119.32,0,0.00,1.00
391,21060.10,0,0.00,1.00
392,21023.26,0,0.00,1.00
393,20998.13,0,0.00,1.00
394,20953.31,0,0.00,1.00
395,21058.34,0,0.00,1.00
396,20845.08,0,0.00,1.00
397,20606.40,0,0.00,1.00
398,20715.58,0,0.00,1.00
399,20630.01,0,0.00,1.00
400,20349.08,0,0.00,1.00
401,20255.01,0,0.00,1.00
402,20277.57,0,0.00,1.00
403,20393.44,0,0.00,1.00
404,20308.02,0,0.00,1.00
405,20281.29,0,0.00,1.00
406,20289.83,0,0.00,1.00
407,20357.67,0,0.00,1.00
408,20347.46,0,0.00,1.00
409,20282.96,0,0.00,1.00
410,20307.37,0,0.00,1.00
411,20182.80,0,0.00,1.00
412,19941.82,0,0.00,1.00
413,20093.75,0,0.00,1.00
414,19990.38,0,0.00,1.00
415,20063.27,0,0.00,1.00
416,20097.00,0,0.00,1.00
417,20104.80,0,0.00,1.00
418,20014.12,0,0.00,1.00
419,20083.99,0,0.00,1.00
420,20126.02,0,0.00,1.00
421,20084.48,0,0.00,1.00
422,20020.87,0,0.00,1.00
423,20081.37,0,0.00,1.00
424,20052.68,0,0.00,1.00
425,20223.63,0,0.00,1.00
426,20224.04,0,0.00,1.00
427,20295.35,0,0.00,1.00
428,20213.64,0,0.00,1.00
429,20123.01,0,0.00,1.00
430,20037.92,0,0.00,1.00
431,20018.44,0,0.00,1.00
432,20083.78,0,0.00,1.00
433,20077.01,0,0.00,1.00
434,20052.28,0,0.00,1.00
435,20001.75,0,0.00,1.00
436,19420.34,0,0.00,1.00
437,19435.90,0,0.00,1.00
438,19234.06,0,0.00,1.00
439,19154.16,0,0.00,1.00
440,19108.64,0,0.00,1.00
441,19101.36,0,0.00,1.00
442,19204.37,0,0.00,1.00
443,18868.29,0,0.00,1.00
444,19123.18,0,0.00,1.00
445,19143.98,0,0.00,1.00
446,19140.42,0,0.00,1.00
447,19105.67,0,0.00,1.00
448,18973.86,0,0.00,1.00
