timestamp,price,signal,shares,cash,equity,position,trade_type,trade_pnl
173,18306.93,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
174,18671.79,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
175,19006.11,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
176,19907.41,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
177,19692.5,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
178,19344.27,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
179,19185.87,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
180,19472.24,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
181,19824.97,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
182,19520.84,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
183,19445.99,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
184,20254.52,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
185,20124.08,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
186,20639.48,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
187,20395.64,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
188,20695.22,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
189,20574.0,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
190,20060.39,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
191,19795.52,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
192,19946.18,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
193,19980.49,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
194,19857.89,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
195,20107.81,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
196,20140.04,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
197,20086.63,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
198,20568.22,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
199,20652.36,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
200,20884.11,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
201,20801.79,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
202,20555.68,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
203,20525.56,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
204,20845.95,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
205,20824.74,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
206,20280.93,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
207,19977.6,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
208,20046.43,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
209,20072.81,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
210,20455.54,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
211,20418.45,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
212,20489.62,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
213,20573.89,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
214,20672.3,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
215,20670.88,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
216,20433.49,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
217,20614.04,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
218,20656.17,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
219,20890.77,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
220,21192.08,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
221,21120.28,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
222,21356.32,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
223,21200.0,0,0.0,1000.0,1000.0,CASH,HOLD,0.0
